period,scenario,hdd_assumption,week_of_year,forecast_weekly_change_bcf,forecast_inventory_bcf,assumed_hdd_anomaly,weather_beta,as_of_date
2026-10-30,Mild,Mild weather,44,51.455351058231884,4095.8479334938097,-14.625,-1.4141289413909046,2026-06-12
2026-11-06,Mild,Mild weather,45,53.37697631023235,4149.224909804042,-21.994642857142853,-1.4141289413909046,2026-06-12
2026-11-13,Mild,Mild weather,46,6.713819212611,4155.938729016653,-20.94711538461538,-1.4141289413909046,2026-06-12
2026-11-20,Mild,Mild weather,47,-6.756838442198358,4149.181890574455,-20.10000000000001,-1.4141289413909046,2026-06-12
2026-11-27,Mild,Mild weather,48,-23.852464242318153,4125.329426332137,-17.87878787878789,-1.4141289413909046,2026-06-12
2026-12-04,Mild,Mild weather,49,-86.69632655823933,4038.6330997738974,-12.653439153439145,-1.4141289413909046,2026-06-12
2026-12-11,Mild,Mild weather,50,-91.30220703400673,3947.3308927398907,-27.17155172413792,-1.4141289413909046,2026-06-12
2026-12-18,Mild,Mild weather,51,-90.87382954784724,3856.4570631920433,-27.05661764705883,-1.4141289413909046,2026-06-12
2026-12-25,Mild,Mild weather,52,-23.78098476845841,3832.676078423585,-48.77976190476191,-1.4141289413909046,2026-06-12
2027-01-01,Mild,Mild weather,53,15.787828204512074,3848.463906628097,-13.299999999999997,-1.4141289413909046,2026-06-12
2027-01-08,Mild,Mild weather,1,-67.46449932087265,3780.9994073072244,-41.80909090909091,-1.4141289413909046,2026-06-12
2027-01-15,Mild,Mild weather,2,-118.38498103021925,3662.614426277005,-27.87606837606839,-1.4141289413909046,2026-06-12
2027-01-22,Mild,Mild weather,3,-124.84238338380871,3537.772042893196,-34.00919540229886,-1.4141289413909046,2026-06-12
2027-01-29,Mild,Mild weather,4,-150.40592788324227,3387.366115009954,-24.079545454545453,-1.4141289413909046,2026-06-12
2027-02-05,Mild,Mild weather,5,-132.81333532038417,3254.5527796895694,-30.86293859649122,-1.4141289413909046,2026-06-12
2027-02-12,Mild,Mild weather,6,-118.79064368642332,3135.762136003146,-30.94047619047619,-1.4141289413909046,2026-06-12
2027-02-19,Mild,Mild weather,7,-107.36230279526472,3028.3998332078813,-28.045833333333334,-1.4141289413909046,2026-06-12
